Unnamed: 0,filename,LE_left,LE_top,LE_right,LE_bottom,RE_left,RE_top,RE_right,RE_bottom,lx,ly,rx,ry,relative_lx,relative_ly,relative_rx,relative_ry
29,001/0/2022-09-26 08:04:28.692363-12276.jpg,105,399,342,517,617,408,849,523,209,454,743,468,104,55,126,60
30,001/0/2022-09-26 08:05:44.097283-23336.jpg,116,393,353,514,624,411,853,527,249,443,783,464,133,50,159,53
31,001/0/2022-09-26 08:04:40.257861-13972.jpg,113,414,345,512,623,433,836,527,13,22,18,21,-100,-392,-605,-412
32,001/0/2022-09-26 08:07:23.298444-37784.jpg,182,577,361,626,609,582,796,638,264,611,712,612,82,34,103,30
33,001/0/2022-09-26 08:07:22.844853-37712.jpg,138,416,377,526,637,432,857,545,1,1,1,1,-137,-415,-636,-431
34,001/0/2022-09-26 08:07:23.000435-37736.jpg,155,460,384,555,631,472,838,578,265,506,752,517,110,46,121,45
35,001/0/2022-09-26 08:03:51.029851-6736.jpg,111,395,345,518,621,414,846,532,252,452,785,469,141,57,164,55
36,001/0/2022-09-26 08:07:22.583121-37672.jpg,125,405,359,510,635,429,853,531,229,450,752,467,104,45,117,38
37,001/0/2022-09-26 08:07:23.249372-37776.jpg,184,554,376,611,618,556,798,628,259,580,719,586,75,26,101,30
38,001/0/2022-09-26 08:07:22.688212-37688.jpg,120,407,363,518,630,426,853,535,239,460,764,473,119,53,134,47
39,001/0/2022-09-26 08:07:23.025534-37740.jpg,156,464,382,560,630,473,835,582,263,511,751,524,107,47,121,51
40,001/0/2022-09-26 08:04:40.149981-13956.jpg,118,407,349,512,624,425,838,527,209,445,752,469,91,38,128,44
41,001/0/2022-09-26 08:03:48.586054-6376.jpg,104,398,347,512,617,413,843,526,184,457,712,469,80,59,95,56
42,001/0/2022-09-26 08:04:29.163641-12344.jpg,104,392,340,511,618,403,850,517,215,447,744,460,111,55,126,57
43,001/0/2022-09-26 08:06:30.873293-30136.jpg,111,391,354,512,622,408,855,523,226,447,756,462,115,56,134,54
44,001/0/2022-09-26 08:06:01.831998-25920.jpg,104,387,344,507,611,401,842,517,196,447,727,457,92,60,116,56
45,001/0/2022-09-26 08:07:21.237676-37468.jpg,121,413,356,515,627,437,843,535,18,14,23,13,-103,-399,-604,-424
46,001/0/2022-09-26 08:03:28.471859-3416.jpg,102,399,341,516,614,412,842,525,193,459,724,468,91,60,110,56
47,001/0/2022-09-26 08:07:22.766223-37700.jpg,128,410,373,524,631,428,853,543,246,465,761,478,118,55,130,50
48,001/0/2022-09-26 08:05:58.982480-25504.jpg,116,377,352,499,618,396,842,510,220,426,750,438,104,49,132,42
49,001/0/2022-09-26 08:06:41.091498-31620.jpg,111,378,354,501,620,402,847,515,206,432,736,448,95,54,116,46
50,001/0/2022-09-26 08:03:05.243889-0.jpg,106,395,341,512,618,409,842,522,207,451,741,464,101,56,123,55
51,001/0/2022-09-26 08:07:23.443122-37808.jpg,143,485,359,578,618,511,822,593,16,16,22,13,-127,-469,-596,-498
52,001/0/2022-09-26 08:07:23.727438-37856.jpg,157,485,357,574,607,499,809,574,15,21,22,15,-142,-464,-585,-484
53,001/0/2022-09-26 08:07:22.740182-37696.jpg,126,405,370,520,632,426,854,539,247,462,760,478,121,57,128,52
54,001/0/2022-09-26 08:03:06.004434-108.jpg,107,390,343,511,623,408,844,526,256,457,787,470,149,67,164,62
55,001/0/2022-09-26 08:07:21.000847-37432.jpg,110,387,354,509,623,405,853,523,225,444,755,458,115,57,132,53
56,001/0/2022-09-26 08:07:22.635125-37680.jpg,120,401,362,511,632,421,855,530,233,455,755,473,113,54,123,52
57,001/0/2022-09-26 08:06:36.568932-30964.jpg,120,383,359,501,629,406,855,516,246,431,772,448,126,48,143,42
58,001/0/2022-09-26 08:04:43.506339-14452.jpg,108,400,347,513,617,413,848,525,211,445,741,460,103,45,124,47
59,001/0/2022-09-26 08:03:39.403642-5024.jpg,111,387,346,505,620,404,843,514,215,435,746,445,104,48,126,41
60,001/0/2022-09-26 08:04:41.177173-14108.jpg,113,405,356,520,626,420,854,536,233,458,766,477,120,53,140,57
61,001/0/2022-09-26 08:05:31.094848-21436.jpg,105,383,342,505,615,398,844,514,201,433,731,451,96,50,116,53
62,001/0/2022-09-26 08:07:23.076822-37748.jpg,161,475,383,563,626,477,827,585,263,524,744,534,102,49,118,57
63,001/0/2022-09-26 08:06:02.223301-25972.jpg,110,391,347,510,619,404,851,518,217,448,747,459,107,57,128,55
64,001/0/2022-09-26 08:04:25.953924-11872.jpg,116,384,345,502,623,399,848,507,232,433,762,448,116,49,139,49
65,001/0/2022-09-26 08:03:24.122183-2776.jpg,106,388,342,508,616,403,839,517,195,440,725,452,89,52,109,49
66,001/0/2022-09-26 08:06:11.205235-27280.jpg,114,401,361,515,626,420,855,531,225,460,755,483,111,59,129,63
67,001/0/2022-09-26 08:07:22.948552-37728.jpg,152,440,389,539,638,453,852,563,263,494,758,510,111,54,120,57
68,001/0/2022-09-26 08:04:48.699316-15212.jpg,101,387,338,507,612,401,841,517,194,442,726,458,93,55,114,57
69,001/0/2022-09-26 08:06:43.734832-32004.jpg,116,396,357,512,623,414,853,526,228,450,756,468,112,54,133,54
70,001/0/2022-09-26 08:06:47.985470-32620.jpg,110,388,353,509,621,405,853,520,221,446,751,462,111,58,130,57
71,001/0/2022-09-26 08:03:51.842372-6856.jpg,113,392,346,514,621,412,846,528,252,453,787,467,139,61,166,55
72,001/0/2022-09-26 08:04:30.274831-12508.jpg,107,385,344,506,618,398,849,514,218,442,746,456,111,57,128,58
73,001/0/2022-09-26 08:07:23.539254-37824.jpg,147,506,352,595,617,538,825,612,16,22,16,22,-131,-484,-601,-516
74,001/0/2022-09-26 08:03:56.400884-7528.jpg,115,379,344,500,625,399,846,510,233,436,764,448,118,57,139,49
75,001/0/2022-09-26 08:06:31.726905-30260.jpg,120,387,359,505,628,410,853,520,245,434,770,449,125,47,142,39
76,001/0/2022-09-26 08:07:04.710325-35052.jpg,114,388,355,507,625,405,852,520,222,445,751,460,108,57,126,55
77,001/0/2022-09-26 08:06:56.541343-33864.jpg,113,387,355,510,624,408,853,525,251,444,778,460,138,57,154,52
78,001/0/2022-09-26 08:06:51.742538-33168.jpg,107,379,352,504,620,400,849,518,203,434,727,453,96,55,107,53
79,001/0/2022-09-26 08:05:34.868062-21988.jpg,110,397,348,512,620,409,852,522,222,447,753,462,112,50,133,53
80,001/0/2022-09-26 08:04:44.360210-14576.jpg,106,381,342,502,614,394,841,509,196,432,725,446,90,51,111,52
81,001/0/2022-09-26 08:05:19.494727-19732.jpg,104,396,344,514,615,407,844,524,188,445,721,458,84,49,106,51
82,001/0/2022-09-26 08:04:27.581391-12112.jpg,106,396,342,516,617,405,848,521,214,451,746,467,108,55,129,62
83,001/0/2022-09-26 08:03:07.743760-364.jpg,106,394,339,513,619,408,844,522,234,452,763,468,128,58,144,60
84,001/0/2022-09-26 08:07:16.596521-36780.jpg,113,390,358,512,623,410,853,528,227,451,755,466,114,61,132,56
85,001/0/2022-09-26 08:04:59.221309-16760.jpg,119,385,351,505,623,403,847,515,246,431,772,447,127,46,149,44
86,001/0/2022-09-26 08:05:39.496091-22664.jpg,113,387,348,505,623,402,852,513,230,437,758,455,117,50,135,53
87,001/0/2022-09-26 08:03:54.141181-7196.jpg,109,386,345,505,623,404,848,516,215,443,742,453,106,57,119,49
88,001/0/2022-09-26 08:05:29.792550-21244.jpg,113,396,353,515,623,411,854,526,237,450,769,468,124,54,146,57
89,001/0/2022-09-26 08:03:26.128761-3068.jpg,105,411,345,522,615,421,841,533,199,466,724,478,94,55,109,57
90,001/0/2022-09-26 08:04:40.609039-14024.jpg,105,393,342,512,616,404,846,520,215,447,742,459,110,54,126,55
91,001/0/2022-09-26 08:05:23.384657-20304.jpg,107,396,351,508,620,409,845,521,188,444,718,459,81,48,98,50
92,001/0/2022-09-26 08:03:22.529830-2540.jpg,101,397,336,516,614,408,843,522,209,454,740,467,108,57,126,59
93,001/0/2022-09-26 08:07:22.870893-37716.jpg,144,422,380,528,637,436,854,547,253,476,762,494,109,54,125,58
94,001/0/2022-09-26 08:06:21.197213-28728.jpg,117,387,357,508,629,409,855,525,264,443,792,463,147,56,163,54
95,001/0/2022-09-26 08:06:02.604674-26028.jpg,113,392,353,511,624,409,853,523,225,444,756,460,112,52,132,51
96,001/0/2022-09-26 08:06:01.968147-25940.jpg,108,391,348,507,617,404,845,518,199,445,729,459,91,54,112,55
97,001/0/2022-09-26 08:05:57.451135-25280.jpg,110,385,353,505,619,404,849,517,224,437,751,451,114,52,132,47
98,001/0/2022-09-26 08:05:08.827513-18168.jpg,117,414,351,518,625,430,842,535,1,1,1,1,-116,-413,-624,-429
99,001/0/2022-09-26 08:03:12.048061-996.jpg,102,396,339,515,615,409,846,523,211,454,744,467,109,58,129,58
100,001/0/2022-09-26 08:07:09.121816-35692.jpg,111,392,359,512,623,413,854,530,243,453,764,468,132,61,141,55
101,001/0/2022-09-26 08:04:18.625590-10796.jpg,108,387,343,503,619,401,844,512,196,431,727,449,88,44,108,48
102,001/0/2022-09-26 08:05:40.121636-22756.jpg,110,392,348,513,620,405,851,521,222,448,748,465,112,56,128,60
103,001/0/2022-09-26 08:03:40.133379-5132.jpg,107,398,346,517,620,414,849,526,215,457,747,467,108,59,127,53
104,001/0/2022-09-26 08:03:35.073303-4388.jpg,103,392,340,514,617,407,848,521,214,454,746,465,111,62,129,58
105,001/0/2022-09-26 08:05:15.038575-19080.jpg,108,391,347,510,617,407,849,519,220,439,752,457,112,48,135,50
106,001/0/2022-09-26 08:05:34.189086-21888.jpg,118,386,351,505,625,403,850,514,243,433,770,447,125,47,145,44
107,001/0/2022-09-26 08:03:58.622371-7856.jpg,107,402,349,522,619,418,846,535,215,468,747,482,108,66,128,64
108,001/0/2022-09-26 08:03:19.718212-2124.jpg,103,400,342,512,615,414,840,525,175,453,708,465,72,53,93,51
109,001/0/2022-09-26 08:06:28.840471-29840.jpg,117,383,354,502,623,403,849,514,230,430,755,446,113,47,132,43
110,001/0/2022-09-26 08:06:26.688504-29528.jpg,116,378,353,498,622,398,847,510,224,429,752,442,108,51,130,44
111,001/0/2022-09-26 08:04:38.958027-13784.jpg,110,380,351,500,620,396,848,510,216,437,750,449,106,57,130,53
112,001/0/2022-09-26 08:06:37.777916-31140.jpg,112,387,354,509,622,406,852,522,224,443,755,463,112,56,133,57
113,001/0/2022-09-26 08:03:33.987719-4232.jpg,104,404,341,521,616,414,848,528,215,455,744,468,111,51,128,54
114,001/0/2022-09-26 08:05:53.851844-24756.jpg,108,395,349,513,620,410,853,523,221,449,752,467,113,54,132,57
115,001/0/2022-09-26 08:06:38.628095-31264.jpg,118,384,356,504,624,406,851,519,240,435,763,449,122,51,139,43
116,001/0/2022-09-26 08:05:31.828405-21544.jpg,109,386,345,507,615,399,844,517,200,433,732,446,91,47,117,47
117,001/0/2022-09-26 08:06:06.109710-26540.jpg,117,379,355,502,623,399,852,514,251,435,776,446,134,56,153,47
118,001/0/2022-09-26 08:07:06.412181-35300.jpg,109,383,354,506,619,402,849,518,212,437,741,448,103,54,122,46
119,001/0/2022-09-26 08:05:41.783760-23000.jpg,108,388,345,510,615,401,845,518,211,435,743,450,103,47,128,49
120,001/0/2022-09-26 08:07:26.219665-38260.jpg,137,466,364,559,616,471,829,559,13,22,22,19,-124,-444,-594,-452
121,001/0/2022-09-26 08:05:09.939507-18332.jpg,111,391,347,509,622,405,852,518,220,448,751,459,109,57,129,54
122,001/0/2022-09-26 08:04:13.722902-10076.jpg,113,391,347,513,623,408,848,524,239,448,772,464,126,57,149,56
123,001/0/2022-09-26 08:04:05.099205-8804.jpg,107,387,344,509,620,401,850,517,215,446,748,461,108,59,128,60
124,001/0/2022-09-26 08:06:05.918656-26512.jpg,114,385,356,505,623,404,852,518,229,439,754,453,115,54,131,49
125,001/0/2022-09-26 08:04:33.801142-13028.jpg,110,405,353,516,623,419,852,529,214,463,749,476,104,58,126,57
126,001/0/2022-09-26 08:03:44.648319-5796.jpg,107,391,344,512,619,407,850,520,215,451,751,465,108,60,132,58
127,001/0/2022-09-26 08:03:12.433920-1053.jpg,103,398,338,517,616,408,847,523,211,450,743,466,108,52,127,58
128,001/0/2022-09-26 08:07:24.098376-37920.jpg,152,480,360,575,606,482,812,571,1,1,1,1,-151,-479,-605,-481
129,001/0/2022-09-26 08:04:19.298219-10894.jpg,109,385,345,504,618,401,845,514,199,434,728,447,90,49,110,46
130,001/0/2022-09-26 08:03:52.674591-6979.jpg,107,391,345,515,618,408,849,524,215,449,748,465,108,58,130,57
131,001/0/2022-09-26 08:04:57.180588-16459.jpg,108,401,350,514,620,415,851,526,204,453,737,469,96,52,117,54
132,001/0/2022-09-26 08:04:12.082370-9835.jpg,106,387,344,511,619,404,851,520,218,449,748,461,112,62,129,57
133,001/0/2022-09-26 08:06:40.754555-31571.jpg,113,381,353,504,623,401,851,516,232,434,760,453,119,53,137,52
134,001/0/2022-09-26 08:05:19.073598-19670.jpg,108,393,346,510,618,407,848,520,199,445,730,456,91,52,112,49
135,001/0/2022-09-26 08:05:42.842340-23151.jpg,112,395,349,513,620,409,850,522,224,442,750,459,112,47,130,50
136,001/0/2022-09-26 08:05:43.696597-23277.jpg,115,392,351,514,622,409,852,525,247,444,776,462,132,52,154,53
137,001/0/2022-09-26 08:03:16.982511-1724.jpg,105,402,349,512,617,419,842,527,173,456,702,469,68,54,85,50
138,001/0/2022-09-26 08:06:49.273244-32808.jpg,111,386,354,509,621,405,852,522,223,445,751,460,112,59,130,55
139,001/0/2022-09-26 08:03:55.519967-7398.jpg,106,390,341,514,620,405,847,522,213,448,747,464,107,58,127,59
140,001/0/2022-09-26 08:07:03.886649-34932.jpg,111,385,354,506,625,404,851,520,208,443,734,458,97,58,109,54
141,001/0/2022-09-26 08:05:46.809153-23730.jpg,110,391,349,515,620,409,852,526,230,448,763,466,120,57,143,57
142,001/0/2022-09-26 08:04:44.793351-14640.jpg,102,379,340,500,612,393,839,507,195,432,725,445,93,53,113,52
143,001/0/2022-09-26 08:04:13.974679-10113.jpg,111,389,344,513,622,405,848,524,240,447,771,461,129,58,149,56
144,001/0/2022-09-26 08:07:03.976368-34945.jpg,111,386,355,505,625,405,851,520,208,443,734,455,97,57,109,50
145,001/0/2022-09-26 08:07:31.783952-39150.jpg,136,463,363,555,617,473,832,559,1,1,1,1,-135,-462,-616,-472
146,001/0/2022-09-26 08:04:52.600899-15786.jpg,112,391,349,513,620,408,849,523,247,447,779,461,135,56,159,53
147,001/0/2022-09-26 08:06:19.998506-28553.jpg,111,387,353,509,622,405,853,521,223,446,753,461,112,59,131,56
148,001/0/2022-09-26 08:03:08.755670-514.jpg,105,393,338,514,617,410,842,525,235,453,762,467,130,60,145,57
149,001/0/2022-09-26 08:05:29.486732-21199.jpg,111,395,352,516,623,408,854,525,235,449,769,468,124,54,146,60
150,001/0/2022-09-26 08:04:42.512190-14305.jpg,109,392,346,510,620,407,851,518,214,446,748,461,105,54,128,54
151,001/0/2022-09-26 08:07:08.800844-35645.jpg,111,392,355,513,622,411,854,529,236,449,764,466,125,57,142,55
152,001/0/2022-09-26 08:04:04.794533-8759.jpg,106,388,341,511,618,401,849,518,214,447,747,463,108,59,129,62
153,001/0/2022-09-26 08:07:34.663837-39606.jpg,130,458,353,558,608,460,823,551,1,1,1,1,-129,-457,-607,-459
154,001/0/2022-09-26 08:07:35.928010-39812.jpg,132,456,353,556,610,459,826,549,1,1,1,1,-131,-455,-609,-458
155,001/0/2022-09-26 08:06:35.701609-30838.jpg,112,379,357,501,625,402,854,516,227,437,753,454,115,58,128,52
156,001/0/2022-09-26 08:05:50.144112-24216.jpg,106,386,349,509,620,403,852,519,222,444,752,459,116,58,132,56
157,001/0/2022-09-26 08:03:10.555323-775.jpg,107,394,341,514,620,408,846,523,234,454,767,468,127,60,147,60
158,001/0/2022-09-26 08:07:07.240305-35421.jpg,110,388,354,510,621,407,851,524,226,446,751,460,116,58,130,53
159,001/0/2022-09-26 08:03:15.066109-1440.jpg,98,402,339,517,614,414,842,528,189,450,720,467,91,48,106,53
160,001/0/2022-09-26 08:07:09.580826-35759.jpg,112,395,358,513,625,414,855,530,238,454,769,468,126,59,144,54
161,001/0/2022-09-26 08:03:31.850992-3915.jpg,103,395,337,515,617,408,847,522,210,454,742,465,107,59,125,57
162,001/0/2022-09-26 08:03:54.801333-7292.jpg,106,390,342,512,620,403,849,519,214,449,747,464,108,59,127,61
163,001/0/2022-09-26 08:04:26.889293-12010.jpg,116,387,347,502,624,401,849,510,235,432,765,444,119,45,141,43
164,001/0/2022-09-26 08:06:06.434748-26587.jpg,121,382,359,501,626,401,853,513,255,433,781,449,134,51,155,48
165,001/0/2022-09-26 08:05:54.820814-24898.jpg,110,391,350,510,621,405,852,519,220,446,751,460,110,55,130,55
166,001/0/2022-09-26 08:07:38.315494-40195.jpg,133,457,357,555,612,462,828,551,1,1,1,1,-132,-456,-611,-461
167,001/0/2022-09-26 08:05:49.789866-24164.jpg,107,387,350,509,621,402,854,519,227,445,757,463,120,58,136,61
168,001/0/2022-09-26 08:05:46.537064-23690.jpg,112,395,351,514,620,412,853,524,229,450,763,466,117,55,143,54
169,001/0/2022-09-26 08:05:22.888701-20231.jpg,109,392,347,513,617,405,849,520,220,446,749,458,111,54,132,53
170,001/0/2022-09-26 08:03:36.045334-4532.jpg,110,390,346,510,619,405,847,520,228,442,759,457,118,52,140,52
171,001/0/2022-09-26 08:04:37.387842-13552.jpg,109,393,346,512,619,405,850,519,217,445,749,457,108,52,130,52
172,001/0/2022-09-26 08:04:05.302462-8834.jpg,106,389,343,511,620,403,851,518,215,447,746,460,109,58,126,57
173,001/0/2022-09-26 08:03:27.442080-3263.jpg,103,393,339,514,617,408,847,522,213,454,744,465,110,61,127,57
174,001/0/2022-09-26 08:07:14.791079-36516.jpg,109,388,355,511,622,407,852,526,226,447,754,463,117,59,132,56
175,001/0/2022-09-26 08:07:14.893987-36531.jpg,110,387,355,509,621,408,852,524,226,445,753,462,116,58,132,54
176,001/0/2022-09-26 08:05:58.338961-25410.jpg,109,382,351,504,622,401,853,516,227,438,754,456,118,56,132,55
0,001/1/2022-09-26 08:10:43.068363-16588.jpg,117,432,343,532,622,441,836,543,234,480,759,490,117,48,137,49
1,001/1/2022-09-26 08:12:26.181942-31672.jpg,145,477,362,572,617,504,819,589,12,9,12,9,-133,-468,-605,-495
2,001/1/2022-09-26 08:10:57.881451-18752.jpg,114,425,358,532,628,431,852,544,242,484,765,487,128,59,137,56
3,001/1/2022-09-26 08:10:30.407069-14748.jpg,115,428,348,535,620,434,836,547,230,477,757,477,115,49,137,43
4,001/1/2022-09-26 08:12:26.084482-31656.jpg,164,570,348,626,587,573,775,637,266,614,715,612,102,44,128,39
5,001/1/2022-09-26 08:12:25.911686-31628.jpg,159,484,379,558,621,487,824,582,272,535,755,533,113,51,134,46
6,001/1/2022-09-26 08:10:51.736814-17852.jpg,114,428,357,535,627,437,848,552,252,478,774,484,138,50,147,47
7,001/1/2022-09-26 08:12:25.782471-31608.jpg,138,457,364,540,623,455,840,556,14,17,14,17,-124,-440,-609,-438
8,001/1/2022-09-26 08:12:25.650938-31588.jpg,125,438,362,539,621,445,840,556,247,495,765,494,122,57,144,49
9,001/1/2022-09-26 08:12:25.677180-31592.jpg,130,446,360,540,622,451,841,554,243,492,762,492,113,46,140,41
10,001/1/2022-09-26 08:12:25.985951-31640.jpg,163,513,368,589,603,511,801,609,270,566,738,564,107,53,135,53
11,001/1/2022-09-26 08:11:17.376813-21608.jpg,106,440,344,536,608,437,834,547,180,494,704,491,74,54,96,54
12,001/1/2022-09-26 08:12:25.834689-31616.jpg,149,472,373,555,619,471,832,574,267,509,761,513,118,37,142,42
13,001/1/2022-09-26 08:10:32.809075-15096.jpg,109,414,354,519,625,419,850,529,204,471,728,469,95,57,103,50
14,001/1/2022-09-26 08:12:26.060125-31652.jpg,172,575,361,625,589,574,780,639,265,603,722,600,93,28,133,26
15,001/1/2022-09-26 08:12:26.109034-31660.jpg,159,564,343,624,588,575,780,633,261,625,710,623,102,61,122,48
16,001/1/2022-09-26 08:11:14.288203-21156.jpg,110,426,347,532,622,428,844,540,206,490,731,485,96,64,109,57
17,001/1/2022-09-26 08:12:25.961586-31636.jpg,161,500,366,572,606,499,809,592,270,553,747,554,109,53,141,55
18,001/1/2022-09-26 08:09:30.356895-5980.jpg,118,413,358,523,634,426,855,536,240,470,763,480,122,57,129,54
19,001/1/2022-09-26 08:12:25.886135-31624.jpg,154,480,375,562,620,482,829,583,272,524,760,526,118,44,140,44
20,001/1/2022-09-26 08:12:26.133480-31664.jpg,147,538,343,610,594,558,791,621,8,8,8,8,-139,-530,-586,-550
21,001/1/2022-09-26 08:12:25.860735-31620.jpg,151,471,376,556,622,473,832,577,269,518,759,522,118,47,137,49
22,001/1/2022-09-26 08:10:26.422294-14168.jpg,111,416,356,523,627,425,852,533,238,472,763,474,127,56,136,49
23,001/1/2022-09-26 08:10:33.164275-15148.jpg,110,420,350,525,624,425,847,535,207,479,732,479,97,59,108,54
24,001/1/2022-09-26 08:10:33.655122-15220.jpg,113,414,355,520,629,417,854,527,218,469,744,467,105,55,115,50
25,001/1/2022-09-26 08:12:26.229680-31680.jpg,151,499,352,585,615,522,826,597,11,13,11,13,-140,-486,-604,-509
26,001/1/2022-09-26 08:12:26.447959-31712.jpg,147,491,345,587,606,506,808,588,8,13,8,13,-139,-478,-598,-493
27,001/1/2022-09-26 08:11:58.310669-27572.jpg,110,426,347,528,620,426,846,533,222,481,748,481,112,55,128,55
28,001/1/2022-09-26 08:10:30.217093-14720.jpg,115,431,346,532,618,437,834,544,190,475,720,475,75,44,102,38
29,001/1/2022-09-26 08:10:18.077612-12944.jpg,115,415,360,523,631,425,857,535,232,466,757,471,117,51,126,46
30,001/1/2022-09-26 08:12:26.035414-31648.jpg,177,560,377,617,598,564,790,638,268,590,728,590,91,30,130,26
31,001/1/2022-09-26 08:11:59.807904-27792.jpg,110,430,346,531,616,427,840,535,215,482,736,485,105,52,120,58
32,001/1/2022-09-26 08:11:33.333925-23928.jpg,117,415,352,520,627,425,844,532,262,469,783,470,145,54,156,45
33,001/1/2022-09-26 08:09:33.792055-6480.jpg,110,413,352,523,627,422,851,532,217,466,745,472,107,53,118,50
34,001/1/2022-09-26 08:10:40.915292-16276.jpg,110,423,349,527,624,427,844,537,207,479,731,478,97,56,107,51
35,001/1/2022-09-26 08:08:49.285183-8.jpg,109,412,352,524,624,433,844,544,247,481,776,495,138,69,152,62
36,001/1/2022-09-26 08:09:27.244887-5524.jpg,108,414,352,524,627,421,851,533,207,469,734,471,99,55,107,50
37,001/1/2022-09-26 08:10:23.974760-13808.jpg,106,419,353,521,620,427,841,535,177,473,703,476,71,54,83,49
38,001/1/2022-09-26 08:09:49.604584-8784.jpg,111,418,356,523,631,425,854,534,222,470,748,474,111,52,117,49
39,001/1/2022-09-26 08:10:29.126164-14560.jpg,111,423,356,527,623,427,844,540,189,477,718,480,78,54,95,53
40,001/1/2022-09-26 08:10:59.955685-19056.jpg,118,412,355,515,631,421,850,527,248,461,766,462,130,49,135,41
41,001/1/2022-09-26 08:12:25.729786-31600.jpg,133,438,364,528,628,450,843,547,13,13,13,13,-120,-425,-615,-437
42,001/1/2022-09-26 08:10:15.201958-12524.jpg,125,427,356,521,631,443,843,536,1,1,1,1,-124,-426,-630,-442
43,001/1/2022-09-26 08:12:15.837551-30132.jpg,112,432,351,533,619,434,841,544,197,494,720,493,85,62,101,59
44,001/1/2022-09-26 08:11:36.015768-24320.jpg,109,420,339,522,621,419,843,524,242,470,765,469,133,50,144,50
45,001/1/2022-09-26 08:11:05.606904-19884.jpg,116,433,360,539,624,441,844,555,241,496,764,500,125,63,140,59
46,001/1/2022-09-26 08:09:21.468736-4684.jpg,105,415,350,527,621,422,845,536,195,467,725,472,90,52,104,50
47,001/1/2022-09-26 08:12:26.330791-31692.jpg,144,502,354,590,616,532,824,608,13,15,13,15,-131,-487,-603,-517
